id,msg_sum,msg_avg,rec_sum,rec_avg,msg_word_count,rec_word_count
322,12.3,2.46,0,,5,0
321,55.23,2.124230769230769,0,,26,0
322,9.32,1.864,0,,5,0
321,47.019999999999996,2.7658823529411762,0,,17,0
322,40.790000000000006,2.399411764705883,0,,17,0
321,15.059999999999999,2.51,0,,6,0
322,1.48,1.48,0,,1,0
322,30.93,2.209285714285714,0,,14,0
321,5.25,1.75,0,,3,0
322,1.89,1.89,0,,1,0
321,14.569999999999997,2.428333333333333,0,,6,0
322,13.970000000000002,1.995714285714286,0,,7,0
321,116.39000000000003,2.238269230769231,0,,52,0
322,48.41,2.4204999999999997,0,,20,0
321,7.239999999999999,1.8099999999999998,0,,4,0
322,1.89,1.89,0,,1,0
321,1.42,1.42,0,,1,0
322,19.18,2.7399999999999998,0,,7,0
321,204.03000000000003,2.193870967741936,0,,93,0
322,34.72,2.3146666666666667,0,,15,0
321,171.44000000000008,2.2557894736842115,0,,76,0
322,130.85000000000005,2.180833333333334,0,,60,0
321,27.659999999999997,2.1276923076923073,0,,13,0
322,1.54,1.54,0,,1,0
321,152.37000000000006,2.3086363636363645,0,,66,0
322,25.73,2.3390909090909093,0,,11,0
321,165.6500000000001,2.509848484848486,0,,66,0
322,10.599999999999998,1.7666666666666664,0,,6,0
321,11.28,2.256,0,,5,0
322,28.6,2.042857142857143,0,,14,0
321,4.54,2.27,0,,2,0
322,28.509999999999998,2.0364285714285715,0,,14,0
321,196.74000000000004,2.3992682926829274,0,,82,0
322,6.890000000000001,1.7225000000000001,0,,4,0
321,27.980000000000004,2.331666666666667,0,,12,0
322,47.72999999999999,2.2728571428571422,0,,21,0
321,92.99,2.583055555555555,0,,36,0
322,84.75,2.4926470588235294,0,,34,0
321,8.6,2.8666666666666667,0,,3,0
322,1.9,1.9,0,,1,0
321,4.93,1.6433333333333333,0,,3,0
322,37.8,2.3625,0,,16,0
321,3.94,1.97,0,,2,0
322,16.99,2.8316666666666666,0,,6,0
321,41.400000000000006,2.1789473684210527,0,,19,0
322,24.48,2.448,0,,10,0
321,21.480000000000004,2.386666666666667,0,,9,0
322,6.35,2.1166666666666667,0,,3,0
321,27.380000000000003,2.1061538461538465,0,,13,0
322,10.599999999999998,2.1199999999999997,0,,5,0
321,8.6,1.72,0,,5,0
322,31.599999999999994,2.872727272727272,0,,11,0
321,67.13,2.2376666666666667,0,,30,0
322,23.11,2.88875,0,,8,0
321,13.19,2.1983333333333333,0,,6,0
322,31.96,2.9054545454545457,0,,11,0
321,63.15,2.7456521739130433,0,,23,0
322,22.32,2.48,0,,9,0
321,80.22000000000001,2.2283333333333335,0,,36,0
322,4.0,2.0,0,,2,0
321,28.18,2.818,0,,10,0
322,10.62,1.7699999999999998,0,,6,0
321,12.719999999999999,2.1199999999999997,0,,6,0
322,22.990000000000002,2.5544444444444445,0,,9,0
321,17.24,2.4628571428571426,0,,7,0
322,3.59,3.59,0,,1,0
321,17.24,2.4628571428571426,0,,7,0
322,33.53,2.395,0,,14,0
321,22.230000000000004,2.0209090909090914,0,,11,0
322,46.93000000000001,2.234761904761905,0,,21,0
321,17.740000000000002,2.5342857142857147,0,,7,0
322,3.07,3.07,0,,1,0
321,28.48,2.3733333333333335,0,,12,0
322,15.4,2.566666666666667,0,,6,0
321,3.0,3.0,0,,1,0
322,35.86,2.1094117647058823,0,,17,0
321,11.750000000000002,2.9375000000000004,0,,4,0
322,73.22999999999999,2.2884374999999997,0,,32,0
321,17.400000000000002,1.9333333333333336,0,,9,0
322,37.33,2.4886666666666666,0,,15,0
321,34.29,2.4492857142857143,0,,14,0
322,5.61,1.87,0,,3,0
321,21.480000000000004,2.386666666666667,0,,9,0
322,3.17,3.17,0,,1,0
321,39.019999999999996,2.787142857142857,0,,14,0
322,0,,0,,0,0
321,31.270000000000003,2.842727272727273,0,,11,0
322,42.31999999999999,2.6449999999999996,0,,16,0
